gene_ids,Treatment1_FPKM_Coeff_of_Var,Treatment2_FPKM_Coeff_of_Var,Treatment3_FPKM_Coeff_of_Var,Treatment4_FPKM_Coeff_of_Var
gene-ATP6,1.12376211410086,0.245546670668434,1.38181083023442,0.161882439419919
gene-COX1,1.39947987048301,0.233957292154998,1.84124217640155,0.182137217029329
gene-COX2,1.4396522884087,0.283376135820697,1.98546907947413,0.247957078995391
gene-COX3,1.3080691650974,0.362902341149212,1.66690410320129,0.253512188330856
gene-CYTB,1.42833100621136,0.258950084986946,2.01833717566031,0.296329993203926
gene-LOC111099029,1.12526208942316,1.21837510506114,0.982160936453589,1.5742113390076
gene-LOC111099030,0.576977765349508,1.78703577449773,0.611409637098802,1.70910521836431
gene-LOC111099031,0.600277050209184,1.42754228498966,0.548201760792146,NA
gene-LOC111099032,0.41953908914823,0.744007080482739,0.444846426313163,0.936877320044819
gene-LOC111099033,0.287842987569034,0.970377394866751,0.204379399541965,0.645620418336944
gene-LOC111099034,0.491908097384517,0.615722797279835,0.551697400099719,0.405398257549723
gene-LOC111099035,0.425029444315707,0.324466298012259,0.118938202626886,0.174061839445079
gene-LOC111099036,0.613993701521789,0.619345707489324,0.793866830100203,0.487687152810914
gene-LOC111099037,0.275529815094293,0.889788600964199,0.502266491450032,1.01237576830072
gene-LOC111099038,0.454150975057612,1.08133246658442,0.62723587332031,1.38468035663412
gene-LOC111099039,0.580530591548782,1.12664983777447,0.481294474059915,1.29513426235784
gene-LOC111099040,0.119791141331448,0.738944171656459,0.265848058912421,0.749066708694767
gene-LOC111099041,0.459459680378624,1.28683274172018,0.364099117991253,0.59267208469511
gene-LOC111099042,0.552189077819857,0.670135008852715,0.485088132424623,0.594152099297614
gene-LOC111099043,0.444650137781285,1.18264044104833,0.438991862995011,0.60677816150009
gene-LOC111099044,1.1009611911236,1.31208887405465,0.971373896319682,0.904021561608626
gene-LOC111099045,0.182379868717068,0.722127404044395,0.337305010999818,0.293523461726299
gene-LOC111099046,0.956483520059278,1.29400163656271,1.4301016428111,1.91255462758327
gene-LOC111099047,0.35481057300639,0.505528616874118,0.353882833694079,0.219563681744773
gene-LOC111099048,0.590609053261885,0.94501378844208,0.508015333986215,1.16196499828092
gene-LOC111099049,0.590148880162567,1.22192817861848,0.60678122752549,2.84430155463082
gene-LOC111099050,0.215479573207353,0.312243650538746,0.308962226838927,0.195013308635248
gene-LOC111099051,0.668083453292028,0.753873263794356,0.62475337814916,0.632639221862136
gene-LOC111099052,0.349623319156119,0.821588343587394,0.386269489797474,0.367313854497234
gene-LOC111099053,0.42562067476736,0.492796162438491,0.218799769163644,0.32079663838171
gene-LOC111099054,0.361433443653464,0.897704519958779,0.461749904588991,0.977792759947445
gene-LOC111099055,0.357783156418258,1.44653966938899,0.467416141334994,1.60725545583855
gene-LOC111099056,0.357657372577854,0.271549148333788,0.441364079641653,0.324530348825802
gene-LOC111099057,0.540145512853459,1.04798836418351,0.474176888822443,0.480005683295302
gene-LOC111099058,0.367439322115981,1.41175880847594,0.479580953600813,0.85761931476536
gene-LOC111099059,0.389241113929391,1.02459173325868,0.475485162894654,0.812697825892977
gene-LOC111099060,0.372315762222431,0.614340999159531,0.422050117971334,0.341182600145218
gene-LOC111099061,0.573717168028483,0.892295310536943,0.5610632739507,0.720011258674771
gene-LOC111099062,0.232157738268833,0.336919417718725,0.265241605047586,0.268993170690316
gene-LOC111099063,0.141780045200863,0.166381366511903,0.143398360750429,0.271614170682694
gene-LOC111099064,0.390967118690942,1.40865206266435,0.247303643209154,0.994561153453535
gene-LOC111099065,0.457870493962325,0.707786530712085,0.337075022519924,0.544394100399926
gene-LOC111099066,0.548636436159389,0.94423465579509,0.554055849866303,1.35729165006208
gene-LOC111099067,0.103741995549379,0.262367776840127,0.124462745352908,0.518714331102526
gene-LOC111099068,0.444245824300152,1.11076744314161,0.407578954113165,0.505867862396435
gene-LOC111099069,0.413195078179926,0.841506454344414,0.388991369791865,1.8261335983986
gene-LOC111099070,0.440382910235352,1.32911906085512,0.478701623304568,0.717927753858535
gene-LOC111099071,0.169437018432605,0.306347413375189,0.108282039609503,0.400724726185835
gene-LOC111099072,0.631342135387175,1.05361096005785,0.444024410068134,1.43934709671814
gene-LOC111099073,0.202747837831832,0.531608320474249,0.289076456993354,0.239232028369837
gene-LOC111099074,0.666550809789187,1.93460563488245,1.1592127897895,2.91681547239451
gene-LOC111099075,0.436181862582669,1.47031938562531,0.387648490453484,2.14372951422551
gene-LOC111099076,0.665735498501571,1.11716917273951,0.476952538469532,0.838083421549103
gene-LOC111099077,0.469122308365135,0.790161174542466,0.456082644932976,0.576710725062439
gene-LOC111099078,1.72296458107935,2.55381220438958,1.96013275879978,1.96287187666067
gene-LOC111099079,0.322699819387291,0.416529294339971,0.211674261727209,0.307767520930778
gene-LOC111099080,0.38733456620085,1.14407874046787,0.489045574418506,1.21614305495878
gene-LOC111099081,0.323702967870213,0.266127658508583,0.25771490602324,0.245052630843104
gene-LOC111099082,0.607846322849142,0.702463456250051,0.550042796014664,0.685496902787607
gene-LOC111099083,0.637712862962689,0.864432014975023,0.464552744055546,0.675271237778231
gene-LOC111099084,0.792504778758919,2.39281537206995,1.2611744798988,NA
gene-LOC111099085,1.27049374914528,NA,1.81419975132917,2.91681547239451
gene-LOC111099086,NA,2.91681547239451,NA,NA
gene-LOC111099087,0.574291083916128,2.11686982221594,0.465633008913686,2.13855772058171
gene-LOC111099088,0.361089328311198,1.30917964040371,0.178182356772452,2.09520723946574
gene-LOC111099089,1.44954459086341,NA,2.00718552058306,2.91681547239451
gene-LOC111099090,0.562053163352455,2.35118732125487,0.401559843578584,0.891668201482702
gene-LOC111099091,0.426438372651559,0.485146091039408,0.441228597603121,0.454726409186953
gene-LOC111099092,0.195884087905492,0.700500711013485,0.326327805862512,0.330085313865202
gene-LOC111099093,1.46974229038289,0.893897327655419,1.84287248239304,0.225890617331839
gene-LOC111099094,0.40756629619493,1.28830649304464,0.488240533210996,1.29103249592217
gene-LOC111099095,0.249090972554736,0.353099823263538,0.262111981252649,0.186718454288047
gene-LOC111099096,0.650575383202663,1.58816046178043,0.671833914364367,1.52740933409547
gene-LOC111099097,0.0593074144608252,0.473285024641898,0.411993430028604,0.385501216939415
gene-LOC111099098,0.688248948306452,0.857130673816085,0.490404237448653,1.12875769624525
gene-LOC111099099,0.562071300550338,0.714604831759473,0.462583558896336,1.20187246331013
gene-LOC111099100,0.390499195139444,1.12920729143442,0.47925119474968,1.42517211146054
gene-LOC111099101,0.121293584217998,0.358023326516726,0.174444250095058,0.333074827522078
gene-LOC111099102,0.289338122755387,0.533440648257722,0.189089006055457,0.360371985721875
gene-LOC111099103,0.270567823361165,1.71698036648738,0.30769321120102,0.731199965668003
gene-LOC111099104,0.147391373921254,0.42965494307361,0.14530306075508,0.287973893028779
gene-LOC111099105,0.106935252487488,0.496447815160113,0.21540013562968,0.557484448319923
gene-LOC111099106,0.473691729414661,0.426731650285228,0.49217394025561,0.28344196886532
gene-LOC111099107,0.349285931496671,1.17848102908558,0.508045456054435,1.05621450766186
gene-LOC111099108,1.07673831832,0.487861727675849,1.61377901095568,0.139487566122966
gene-LOC111099109,0.238827315633294,0.954055121223048,0.258252984618458,0.384966238815776
gene-LOC111099110,0.447401258629424,0.602228623264233,0.465032405929606,0.466395986055179
gene-LOC111099111,0.483119477276704,0.504401802827161,0.430388696453316,0.845502068774087
gene-LOC111099112,0.202744581605426,0.601252063863812,0.191989975760867,0.326477846124857
gene-LOC111099113,0.521436567517774,2.18940267956433,0.605382886654924,2.20436768282825
gene-LOC111099114,0.353137827115529,0.74984008937633,0.26523937043621,0.756289194863236
gene-LOC111099115,0.257769237339778,0.489770334816184,0.438234751779917,0.330632876564822
gene-LOC111099116,0.385190216000688,0.755043300744481,0.510468114192374,1.38486676347621
gene-LOC111099117,0.540829108550323,1.38825843385317,0.416213892755357,0.922207173522918
gene-LOC111099118,0.418368290761679,1.85707263922597,0.558201377193223,0.782052041868995
gene-LOC111099119,0.488990349476607,1.33185263928784,0.391251391945166,0.841716046790015
gene-LOC111099120,0.361796133787776,0.715653924029382,0.396638678305479,0.360273964173856
gene-LOC111099121,0.65770553469825,0.959552115048234,0.53194553216578,1.88082995592847
gene-LOC111099122,0.247622477005108,0.426588672759745,0.320055832901644,0.345608916301502
gene-LOC111099123,0.0377473519133433,0.505560480665091,0.590867050104376,0.421368965164259
gene-LOC111099124,0.36010740163606,0.953624919104863,0.438796178944236,0.374562181305063
gene-LOC111099125,0.342923510614775,0.307933562391793,0.289713150812909,0.384519442258703
gene-LOC111099126,1.63726947842605,1.45824432113852,2.52399068684357,2.91681547239451
